productivity,io_density,entry_rate,found_prob,seed,firms_500,emp_rate_500,com_vac_500,com_rent_500,pop_500,firms_1000,emp_rate_1000,com_vac_1000,com_rent_1000,pop_1000,feasible
4.0,0.8,4.0,0.01,12,234,0.27557058326289097,0.5857082092726499,2.790002872676248,3549,247,0.2598978288633461,0.5957867017774852,1.8099149615559258,3132,true
5.5,0.8,4.0,0.01,12,222,0.28856304985337244,0.6168478260869565,2.3601287066023366,3410,265,0.2735355648535565,0.5747485258411377,2.315209464739724,3824,true
7.0,0.8,4.0,0.01,12,206,0.2818965517241379,0.6513189448441247,2.611427867807158,3480,240,0.2715166461159063,0.5811348030357788,2.315669973387876,4055,true
9.0,0.8,4.0,0.01,12,135,0.2728910237166016,0.6940410615923885,2.9312407607414017,3331,218,0.2719491318170702,0.5974818771461274,2.8507788789292237,4089,true
4.0,0.2,1.0,0.02,12,146,0.432,0.6263269639065817,2.2305540362142726,2375,74,0.37632275132275134,0.6782999308914996,1.644416585428199,1512,true
5.5,0.2,1.0,0.02,12,140,0.400972590627763,0.6586472991375397,2.386446544787701,2262,82,0.399452804377565,0.6781485468245425,1.612575467723148,1462,true
7.0,0.2,1.0,0.02,12,134,0.3841117415975557,0.6494986326344576,2.42378501304368,2291,56,0.3706293706293706,0.7206870799103808,1.575243930298428,1287,true
9.0,0.2,1.0,0.02,12,135,0.3618181818181818,0.6693171188026192,2.5630296943704853,2200,70,0.38143582306018853,0.6921634795650544,1.537206712537052,1379,true
4.0,0.4,1.0,0.02,12,146,0.432,0.6263269639065817,2.2305540362142726,2375,74,0.37632275132275134,0.6782999308914996,1.644416585428199,1512,true
5.5,0.4,1.0,0.02,12,140,0.400972590627763,0.6586472991375397,2.386446544787701,2262,82,0.399452804377565,0.6781485468245425,1.612575467723148,1462,true
7.0,0.4,1.0,0.02,12,134,0.3841117415975557,0.6494986326344576,2.42378501304368,2291,56,0.3706293706293706,0.7206870799103808,1.575243930298428,1287,true
9.0,0.4,1.0,0.02,12,135,0.3618181818181818,0.6693171188026192,2.5630296943704853,2200,70,0.38143582306018853,0.6921634795650544,1.537206712537052,1379,true
4.0,0.6,1.0,0.02,12,230,0.3156103785623139,0.6594138543516874,2.1514877885442987,2351,148,0.29405099150141645,0.6961837717673213,1.7492296060491328,1765,true
5.5,0.6,1.0,0.02,12,171,0.33607907742998355,0.7040769583142464,2.3711460314016533,2428,173,0.26481835564053535,0.7023901310717039,1.9699852449593187,2092,true
7.0,0.6,1.0,0.02,12,174,0.3374155405405405,0.7116301239275501,2.243431288541983,2368,181,0.2988602785985648,0.6822100313479624,2.2183168518065624,2369,true
9.0,0.6,1.0,0.02,12,147,0.3525747508305648,0.7535521803037727,2.3435741708506055,2408,147,0.2807801706623324,0.7189648200566114,2.202825532680616,2461,true
4.0,0.8,1.0,0.02,12,234,0.3158119658119658,0.6685943060498221,2.502090673837647,2340,174,0.2900318133616119,0.7006298629121896,1.6118989898088723,1886,true
5.5,0.8,1.0,0.02,12,160,0.3234910985670864,0.709232889297198,1.9874495421216767,2303,186,0.2899816176470588,0.6983455175067333,1.7946349100176238,2176,true
7.0,0.8,1.0,0.02,12,189,0.34534786253143335,0.703544061302682,2.3646748205182395,2386,182,0.33177966101694917,0.6842718446601942,1.9805163681235824,2360,true
9.0,0.8,1.0,0.02,12,142,0.327212020033389,0.7522167487684729,2.2961634565961697,2396,171,0.3093638877913868,0.7119675456389453,2.144278213169625,2531,true
4.0,0.2,2.0,0.02,12,176,0.41448972483455243,0.555233760860571,2.746000244667351,2871,115,0.40269101393560786,0.5664893617021277,1.7795390453013018,2081,true
5.5,0.2,2.0,0.02,12,151,0.3817090395480226,0.5909878682842288,2.536997387035703,2832,95,0.40585562847046946,0.5588046272493573,1.9240054748105258,1981,true
7.0,0.2,2.0,0.02,12,161,0.373021582733813,0.5971254355400697,2.572743010969506,2780,99,0.40375586854460094,0.5220883534136547,2.055364054525195,2130,true
9.0,0.2,2.0,0.02,12,146,0.35176427791924336,0.6247706422018349,2.7532000320333463,2749,87,0.35487593768032316,0.6465608465608466,1.750884766108203,1733,true
4.0,0.4,2.0,0.02,12,176,0.41448972483455243,0.555233760860571,2.746000244667351,2871,115,0.40269101393560786,0.5664893617021277,1.7795390453013018,2081,true
5.5,0.4,2.0,0.02,12,151,0.3817090395480226,0.5909878682842288,2.536997387035703,2832,95,0.40585562847046946,0.5588046272493573,1.9240054748105258,1981,true
7.0,0.4,2.0,0.02,12,161,0.373021582733813,0.5971254355400697,2.572743010969506,2780,99,0.40375586854460094,0.5220883534136547,2.055364054525195,2130,true
9.0,0.4,2.0,0.02,12,146,0.35176427791924336,0.6247706422018349,2.7532000320333463,2749,87,0.35487593768032316,0.6465608465608466,1.750884766108203,1733,true
