productivity,initial_hire,solo_found_prob,goods_tc,bid_share,grid_min_res_occ,sold_out_premium,pop_growth,mean_emp,grid_expanded,firm_growth,score
7.2986,4,0.015467,0.12754,0.1263,0.6682,0.5668,0.643,0.647,false,false,1.777
7.2701,5,0.006869,0.18594,0.1806,0.5198,0.2072,0.96,0.63,false,true,2.979
6.1049,4,0.010973,0.09203,0.19,0.5455,0.9456,1.647,0.695,false,true,3.625
6.5772,4,0.017139,0.03285,0.1068,0.5558,0.7716,1.826,0.677,false,false,2.724
5.7567,8,0.027436,0.10243,0.1817,0.6102,0.9666,1.611,0.634,false,true,3.477
3.0093,5,0.02291,0.13764,0.116,0.5651,0.5564,1.281,0.612,false,false,2.185
5.2641,4,0.028864,0.08517,0.1641,0.8537,0.8092,1.819,0.662,false,true,3.689
6.4346,4,0.007365,0.02887,0.0997,0.614,0.2309,1.307,0.72,false,true,3.421
5.736,3,0.004426,0.03101,0.0713,0.8624,0.5429,0.548,0.744,false,true,2.9
5.687,8,0.006101,0.14834,0.1665,0.7453,0.7872,1.261,0.635,false,true,3.215
7.3186,5,0.012306,0.0212,0.0763,0.573,0.4771,1.11,0.596,false,true,3.024
5.8681,6,0.009059,0.02406,0.112,0.7279,0.2733,1.066,0.664,false,false,2.127
7.7409,7,0.010954,0.04426,0.0654,0.7148,0.5664,1.09,0.626,false,true,3.07
3.4562,6,0.003018,0.17652,0.1068,0.6822,0.3985,1.734,0.611,false,false,2.522
6.2466,8,0.029881,0.07757,0.1938,0.6474,0.7734,2.183,0.654,false,true,3.945
4.3956,4,0.004265,0.02863,0.0709,0.5404,0.2144,0.76,0.658,false,true,2.887
5.7323,8,0.006542,0.02006,0.1166,0.6789,0.3169,1.118,0.69,false,true,3.219
3.0822,4,0.029391,0.16382,0.1362,0.8558,0.7178,0.82,0.62,false,false,1.856
7.9266,4,0.012088,0.02873,0.1112,0.6699,0.9023,0.825,0.665,false,true,2.95
4.8226,3,0.006134,0.08209,0.0725,0.5952,0.4145,1.866,0.651,false,true,3.701
5.4731,5,0.018297,0.06635,0.1933,0.7633,0.5771,1.582,0.634,false,true,3.453
4.8129,4,0.023884,0.04341,0.0504,0.718,0.2733,3.05,0.636,false,true,4.559
3.995,5,0.019033,0.10756,0.1661,0.6012,0.8866,1.524,0.653,false,false,2.449
7.3425,6,0.006459,0.023,0.1355,0.6868,0.7235,1.015,0.647,false,false,2.056
7.0591,6,0.004492,0.05008,0.1353,0.7418,0.9045,0.734,0.639,false,false,1.828
7.0754,8,0.017644,0.08121,0.094,0.8897,0.2531,1.057,0.619,false,false,2.03
4.6499,7,0.004163,0.02353,0.1453,0.5236,0.6283,1.055,0.652,false,true,3.095
6.3002,4,0.011675,0.02498,0.0556,0.7189,0.6022,1.217,0.7,false,true,3.312
5.363,8,0.028248,0.17316,0.1361,0.6063,0.5651,1.828,0.578,false,true,3.527
7.8099,6,0.013896,0.08472,0.108,0.7605,0.6168,1.044,0.651,false,false,2.086
7.7918,3,0.027224,0.03316,0.1058,0.7228,0.9696,1.372,0.677,false,true,3.384
5.4051,8,0.004562,0.04663,0.0638,0.7951,0.3194,1.122,0.71,false,true,3.262
7.9499,5,0.010871,0.03394,0.1903,0.7268,0.6869,0.798,0.621,false,true,2.84
3.5681,4,0.028758,0.19951,0.1996,0.6691,0.3113,1.034,0.632,false,false,2.039
6.2968,5,0.017191,0.04927,0.1247,0.5287,0.4397,1.076,0.702,false,true,3.211
3.9971,4,0.027126,0.14492,0.1838,0.661,0.4493,0.951,0.667,false,false,2.047
4.6792,4,0.008671,0.05381,0.1622,0.796,0.4758,0.684,0.599,false,false,1.711
4.5837,3,0.00441,0.02052,0.1891,0.582,0.6623,1.367,0.723,false,true,3.472
5.4836,7,0.007196,0.18575,0.0506,0.7642,0.7714,2.93,0.659,false,true,4.515
5.0316,6,0.005854,0.13286,0.153,0.6309,0.2628,0.975,0.634,false,false,2.0
4.4746,3,0.01478,0.02877,0.0629,0.8245,0.2352,0.705,0.649,false,true,2.826
4.6479,7,0.01136,0.03239,0.1419,0.5264,0.6577,0.905,0.632,false,false,1.943
4.2545,3,0.011684,0.07796,0.1023,0.8959,0.5945,0.537,0.71,false,true,2.823
3.9586,6,0.006224,0.03843,0.0975,0.6974,0.6865,1.578,0.631,false,true,3.445
5.9817,6,0.003934,0.10851,0.0664,0.7593,0.4576,1.387,0.635,false,true,3.311
5.1839,8,0.027153,0.11208,0.1102,0.7308,0.3728,1.494,0.669,false,false,2.458
6.8791,4,0.003646,0.10004,0.0681,0.6611,0.454,0.775,0.588,false,true,2.757
5.8562,8,0.011876,0.06315,0.1568,0.7529,0.2729,0.923,0.678,false,false,2.049
5.9397,6,0.024635,0.12461,0.072,0.7577,0.228,1.607,0.683,false,true,3.571
4.2192,5,0.007952,0.16141,0.198,0.702,0.7864,0.807,0.641,false,false,1.887
3.2745,6,0.003257,0.03792,0.1938,0.5596,0.8017,1.245,0.48,false,false,1.894
7.8533,7,0.004085,0.10665,0.1888,0.6499,0.4195,0.728,0.633,false,true,2.812
4.8055,7,0.013853,0.08386,0.1446,0.643,0.6293,1.623,0.621,false,true,3.459
4.0715,7,0.018034,0.05726,0.0518,0.7119,0.5691,1.281,0.64,false,true,3.241
6.5533,6,0.003219,0.09795,0.1917,0.866,0.8955,1.261,0.742,false,true,3.429
4.0127,5,0.025416,0.09208,0.1848,0.5733,0.2374,1.179,0.729,false,true,3.342
3.6414,7,0.007066,0.13049,0.1919,0.8293,0.5136,0.835,0.571,false,false,1.768
4.9541,7,0.008715,0.04924,0.1998,0.7011,0.7609,1.049,0.692,false,false,2.171
5.6776,5,0.009732,0.03341,0.1317,0.7702,0.9739,0.938,0.679,false,false,2.061
6.9434,7,0.00583,0.13728,0.0697,0.6456,0.6548,0.839,0.647,false,true,2.923
7.4751,8,0.005002,0.04257,0.1327,0.841,0.7337,1.033,0.712,false,false,2.2
6.6022,8,0.00328,0.14475,0.117,0.8725,0.4261,1.981,0.693,false,false,2.871
4.5957,7,0.003126,0.09754,0.1817,0.8804,0.4187,1.263,0.692,false,true,3.332
5.4055,6,0.016181,0.09102,0.1495,0.5976,0.9757,1.663,0.693,false,true,3.633
7.4726,7,0.003514,0.04379,0.0698,0.9,0.5317,1.925,0.677,false,true,3.798
5.4795,6,0.009881,0.02342,0.1655,0.5784,0.9749,1.14,0.632,false,true,3.119
4.9928,5,0.018166,0.04173,0.1873,0.7435,0.5943,0.815,0.62,false,false,1.85
7.4078,4,0.009488,0.0885,0.1329,0.887,0.3883,0.774,0.677,false,true,2.933
6.9489,8,0.003054,0.12637,0.0525,0.7255,0.8977,0.701,0.687,false,true,2.9
3.3187,5,0.00348,0.0775,0.0801,0.6498,0.9759,1.255,0.632,false,false,2.206
7.2482,4,0.003985,0.06192,0.0597,0.7474,0.697,1.533,0.717,false,true,3.584
6.1674,8,0.010495,0.02461,0.1137,0.7837,0.8779,1.624,0.626,false,true,3.47
5.8865,3,0.005997,0.08227,0.156,0.8029,0.2218,0.926,0.641,false,false,1.977
7.1661,3,0.003813,0.0624,0.075,0.5805,0.7207,1.326,0.608,false,true,3.211
3.6567,8,0.025122,0.14506,0.1957,0.6618,0.621,1.221,0.542,false,false,2.0
4.5057,8,0.024473,0.1399,0.1299,0.6635,0.3164,0.965,0.661,false,false,2.045
6.7491,6,0.008148,0.05135,0.1916,0.8622,0.6665,1.309,0.679,false,true,3.34
4.1601,4,0.009231,0.02465,0.1564,0.6587,0.2018,1.527,0.571,false,true,3.288
3.6918,6,0.021707,0.06641,0.0922,0.5326,0.6143,1.239,0.638,false,true,3.205
7.2825,3,0.018682,0.16117,0.1321,0.6264,0.3707,0.905,0.698,false,false,2.075
3.6926,7,0.003659,0.12526,0.0663,0.7983,0.4075,1.271,0.667,false,true,3.288
3.0551,8,0.014336,0.12364,0.1753,0.5834,0.7859,0.919,0.572,false,true,2.833
3.6869,4,0.006813,0.13296,0.0921,0.7344,0.2033,1.109,0.693,false,false,2.218
5.804,3,0.003839,0.09522,0.0994,0.6389,0.678,0.845,0.616,false,true,2.865
