"tick","population","employed","unemployed","housed","unhoused","residential_units","vacant_residential_units","commercial_units","vacant_commercial_units","active_firms","firm_job_vacancies","firms_with_job_vacancies","committed_output","realized_sales","unsold_output","sold_out_firms","mean_wage","mean_residential_rent","mean_commercial_rent","mean_goods_price","housing_excess_supply","housing_excess_demand","labor_excess_supply","labor_excess_demand","commercial_space_excess_supply","goods_excess_supply","housing_vacancy_rate","commercial_vacancy_rate","goods_unsold_rate","employment_rate","housing_rate"
365,3685,3483,202,3512,173,5268,1756,2369,1224,216,405,94,6479,5864,615,152,39.2067041967248,1.08940247898174,1295.18731654643,14.5465485028215,1756,173,202,405,1224,615,0.333333333333333,0.516673701983959,0.0949220558728199,0.945183175033921,0.953052917232022
366,3686,3481,205,3513,173,5272,1759,2374,1223,220,479,104,6499,5866,633,140,39.2790201500072,1.09004402843579,1330.19469752798,14.4029334268448,1759,173,205,479,1223,633,0.333649468892261,0.515164279696714,0.0973995999384521,0.944384156266956,0.953065653825285
367,3688,3499,189,3505,183,5282,1777,2382,1232,217,407,99,6483,5890,593,150,39.3533133365833,1.08901268903821,1366.60205556101,14.5485767798936,1777,183,189,407,1232,593,0.336425596365013,0.517212426532326,0.0914699984575042,0.948752711496746,0.950379609544469
368,3691,3497,194,3497,194,5287,1790,2385,1229,220,463,100,6529,5903,626,142,39.4410061704388,1.08906985462183,1403.55287837947,14.4650108057068,1790,194,194,463,1229,626,0.338566294685077,0.515303983228512,0.0958799203553377,0.947439718233541,0.947439718233541
369,3691,3511,180,3495,196,5292,1797,2387,1227,222,485,100,6542,5904,638,144,39.5360499923644,1.08907508241012,1442.21341636572,14.4474431572821,1797,196,180,485,1227,638,0.339569160997732,0.51403435274403,0.0975236930602262,0.951232728257925,0.946897859658629
370,3692,3522,170,3497,195,5297,1800,2390,1226,223,492,97,6564,5946,618,145,39.5937627902609,1.08905194753712,1482.54050048214,14.4398884341853,1800,195,170,492,1226,618,0.339814989616764,0.512970711297071,0.0941499085923218,0.953954496208017,0.947183098591549
371,3695,3529,166,3501,194,5302,1801,2391,1231,220,431,85,6570,5913,657,147,39.6243015064669,1.08876969004734,1524.265620411,14.6013844672887,1801,194,166,431,1231,657,0.339683138438325,0.514847344207445,0.1,0.955074424898511,0.947496617050068
372,3700,3536,164,3513,187,5311,1798,2391,1226,222,460,92,6593,5948,645,147,39.6753778825093,1.08786092243911,1567.47015294155,14.5386153688519,1798,187,164,460,1226,645,0.338542647335718,0.512756168966959,0.0978310329136963,0.955675675675676,0.949459459459459
373,3700,3538,162,3520,180,5314,1794,2393,1228,220,422,83,6614,5917,697,153,39.7200686598652,1.08649795672497,1612.34609512986,14.6878735091351,1794,180,162,422,1228,697,0.337598795634174,0.513163393230255,0.105382521923193,0.956216216216216,0.951351351351351
374,3701,3520,181,3524,177,5322,1798,2396,1227,222,476,92,6612,5937,675,146,39.7748658959456,1.08539405608915,1658.8875786545,14.6425767797573,1798,177,181,476,1227,675,0.337842916196918,0.512103505843072,0.102087114337568,0.951094298838152,0.952175087814104
