tick,firm_type,n_firms,uniq_prices,uniq_prices_r2,min_price_gap,tie_share_r2,mean_sellthrough
28.0,6.0,1,1,1,0.0,0.0,1.0
29.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
29.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
29.0,3.0,1,1,1,0.0,0.0,0.0
29.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
29.0,5.0,1,1,1,0.0,0.0,0.8695652173913043
29.0,6.0,1,1,1,0.0,0.0,1.0
30.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
30.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
30.0,3.0,1,1,1,0.0,0.0,0.0
30.0,4.0,1,1,1,0.0,0.0,0.6521739130434783
30.0,5.0,1,1,1,0.0,0.0,0.8695652173913043
30.0,6.0,1,1,1,0.0,0.0,1.0
31.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
31.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
31.0,3.0,1,1,1,0.0,0.0,0.0
31.0,4.0,1,1,1,0.0,0.0,0.6521739130434783
31.0,5.0,1,1,1,0.0,0.0,0.8695652173913043
31.0,6.0,1,1,1,0.0,0.0,1.0
32.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
32.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
32.0,3.0,1,1,1,0.0,0.0,0.0
32.0,4.0,1,1,1,0.0,0.0,0.6521739130434783
32.0,5.0,1,1,1,0.0,0.0,0.8260869565217391
32.0,6.0,1,1,1,0.0,0.0,1.0
33.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
33.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
33.0,3.0,1,1,1,0.0,0.0,0.0
33.0,4.0,1,1,1,0.0,0.0,0.6521739130434783
33.0,5.0,1,1,1,0.0,0.0,0.8260869565217391
33.0,6.0,1,1,1,0.0,0.0,1.0
34.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
34.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
34.0,3.0,1,1,1,0.0,0.0,0.0
34.0,4.0,1,1,1,0.0,0.0,0.6521739130434783
34.0,5.0,1,1,1,0.0,0.0,0.9565217391304348
34.0,6.0,1,1,1,0.0,0.0,0.8846153846153846
35.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
35.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
35.0,3.0,1,1,1,0.0,0.0,0.0
35.0,4.0,1,1,1,0.0,0.0,0.6956521739130435
35.0,5.0,1,1,1,0.0,0.0,1.0
35.0,6.0,1,1,1,0.0,0.0,0.8518518518518519
36.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
36.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
36.0,3.0,1,1,1,0.0,0.0,0.0
36.0,4.0,1,1,1,0.0,0.0,0.6956521739130435
36.0,5.0,1,1,1,0.0,0.0,0.9130434782608695
36.0,6.0,1,1,1,0.0,0.0,0.8888888888888888
37.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
37.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
37.0,3.0,1,1,1,0.0,0.0,0.0
37.0,4.0,1,1,1,0.0,0.0,0.6956521739130435
37.0,5.0,1,1,1,0.0,0.0,0.9130434782608695
37.0,6.0,1,1,1,0.0,0.0,0.9259259259259259
38.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
38.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
38.0,3.0,1,1,1,0.0,0.0,0.0
38.0,4.0,1,1,1,0.0,0.0,0.6956521739130435
38.0,5.0,1,1,1,0.0,0.0,0.9130434782608695
38.0,6.0,1,1,1,0.0,0.0,0.9259259259259259
39.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
39.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
39.0,3.0,1,1,1,0.0,0.0,0.0
39.0,4.0,1,1,1,0.0,0.0,0.6956521739130435
39.0,5.0,1,1,1,0.0,0.0,0.9565217391304348
39.0,6.0,1,1,1,0.0,0.0,0.8888888888888888
40.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
40.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
40.0,3.0,1,1,1,0.0,0.0,0.0
40.0,4.0,1,1,1,0.0,0.0,0.6956521739130435
40.0,5.0,1,1,1,0.0,0.0,0.8695652173913043
40.0,6.0,1,1,1,0.0,0.0,0.9629629629629629
