"tick","population","employed","unemployed","housed","unhoused","residential_units","vacant_residential_units","commercial_units","vacant_commercial_units","active_firms","firm_job_vacancies","firms_with_job_vacancies","committed_output","realized_sales","unsold_output","sold_out_firms","mean_wage","mean_residential_rent","mean_commercial_rent","mean_goods_price","housing_excess_supply","housing_excess_demand","labor_excess_supply","labor_excess_demand","commercial_space_excess_supply","goods_excess_supply","housing_vacancy_rate","commercial_vacancy_rate","goods_unsold_rate","employment_rate","housing_rate"
37,94,49,45,52,42,127,75,98,90,7,77,7,78,46,32,1,13.3530679466098,1.28321714416976,1.67233737492906,3.93443866698039,75,42,45,77,90,32,0.590551181102362,0.918367346938776,0.41025641025641,0.521276595744681,0.553191489361702
38,96,50,46,52,44,128,76,98,90,7,76,7,77,46,31,2,13.5515679573998,1.26418023433943,1.68834910354207,3.96169098923254,76,44,46,76,90,31,0.59375,0.918367346938776,0.402597402597403,0.520833333333333,0.541666666666667
39,99,41,58,51,48,129,78,97,89,7,85,7,79,49,30,1,13.7107537159975,1.2456836631472,1.70582316865092,3.92176409725028,78,48,58,85,89,30,0.604651162790698,0.917525773195876,0.379746835443038,0.414141414141414,0.515151515151515
40,100,46,54,50,50,129,79,97,89,7,80,7,69,32,37,0,13.8004728162436,1.22910442312754,1.72729126633399,3.87380968664287,79,50,54,80,89,37,0.612403100775194,0.917525773195876,0.536231884057971,0.46,0.5
41,101,53,48,51,50,129,78,97,89,7,73,7,74,51,23,2,14.1356021498562,1.21642467996447,1.75119817593888,3.82310156667066,78,50,48,73,89,23,0.604651162790698,0.917525773195876,0.310810810810811,0.524752475247525,0.504950495049505
42,103,44,59,52,51,129,77,97,89,7,82,7,79,56,23,2,14.3814119620929,1.20623271581991,1.77582229283192,3.82310156667066,77,51,59,82,89,23,0.596899224806202,0.917525773195876,0.291139240506329,0.427184466019417,0.504854368932039
43,104,54,50,54,50,129,75,97,89,7,72,7,68,28,40,0,15.0960450354893,1.20082276751074,1.80118513323175,3.78503476042177,75,50,50,72,89,40,0.581395348837209,0.917525773195876,0.588235294117647,0.519230769230769,0.519230769230769
44,105,58,47,57,48,130,73,96,88,7,68,7,78,64,14,2,15.462479229512,1.19835751001069,1.82730885884357,3.76488822961562,73,48,47,68,88,14,0.561538461538462,0.916666666666667,0.17948717948718,0.552380952380952,0.542857142857143
45,105,56,49,59,46,130,71,96,88,7,70,6,83,61,22,2,15.0478571956191,1.19808491000138,1.85421629622375,3.74366964263075,71,46,49,70,88,22,0.546153846153846,0.916666666666667,0.265060240963855,0.533333333333333,0.561904761904762
46,106,63,43,65,41,130,65,96,88,7,63,6,81,55,26,4,15.4339852482427,1.19999910893281,1.88193095672534,3.79239645354306,65,41,43,63,88,26,0.5,0.916666666666667,0.320987654320988,0.594339622641509,0.613207547169811
47,107,64,43,65,42,130,65,96,88,7,62,6,87,60,27,2,15.6934973077042,1.2014089151475,1.91047705704197,3.81251074989992,65,42,43,62,88,27,0.5,0.916666666666667,0.310344827586207,0.598130841121495,0.607476635514019
48,107,66,41,65,42,130,65,96,88,7,60,7,87,57,30,2,15.7858578326921,1.20346275507213,1.9398795403681,3.81251074989992,65,42,41,60,88,30,0.5,0.916666666666667,0.344827586206897,0.616822429906542,0.607476635514019
49,110,69,41,67,43,130,63,96,88,7,57,7,89,55,34,3,16.0483506924238,1.20543453286366,1.97016409819401,3.79159188168879,63,43,41,57,88,34,0.484615384615385,0.916666666666667,0.382022471910112,0.627272727272727,0.609090909090909
50,110,74,36,73,37,131,58,96,88,7,52,7,91,66,25,0,16.4122623815232,1.21285839712615,2.00135719275471,3.79153276810997,58,37,36,52,88,25,0.442748091603053,0.916666666666667,0.274725274725275,0.672727272727273,0.663636363636364
