tick,firm_id,firm_type,reason,cash_before_exit,revenue_this_tick,wages_this_tick,commercial_rent_this_tick,capital_rental_this_tick,process_rental_this_tick,input_cost_this_tick,profit_this_tick,worker_count,capital_units,process_count,commercial_units,last_plan_tick,last_plan_passed,last_plan_projected_end_cash,last_plan_total_cost,last_plan_buffer
2037,118,1,negative_cash,-1.040407409805261,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,2035,0,-91.59040740980527,77.0,19.25
2045,116,1,negative_cash,-3.5868241967357672,0.0,0.0,4.0,0.25,0.6,0.0,-4.85,0,1,1,4,2038,0,-90.88682419673577,97.0,24.25
2047,121,1,negative_cash,-1.6549734013949777,0.0,0.0,1.0,0.25,0.6,0.0,-1.85,0,1,1,1,2046,0,-46.054973401394975,37.0,9.25
2048,82,6,negative_cash,-114.73466757417614,105.29536260470803,79.92287073892447,3.0,5.25,4.8,140.0,-127.67750813421644,8,21,8,3,2039,1,108.80786583815802,4193.137744353735,1145.1984785078541
2049,123,2,negative_cash,-0.6997461241915337,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,2035,0,-43.04974612419152,77.0,19.25
2051,113,4,negative_cash,-1.0605629469821247,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,2049,0,-114.61056294698213,97.0,24.25
2069,115,1,negative_cash,-5.306236672366779,5.189712722755461,10.0,6.0,0.5,0.6,0.0,-11.910287277244539,1,2,1,6,2053,1,111.55261404647115,142.0,35.5
2098,134,3,negative_cash,-14.335057094785533,0.0,9.797239270507358,1.0,0.5,0.6,8.255789822715577,-20.153029093222933,1,2,1,1,2080,1,38.22735853149714,249.94478541014715,62.48619635253679
2115,122,2,negative_cash,-4.964225708993418,3.1911966527592037,10.0,2.0,0.5,0.6,0.0,-9.908803347240797,1,2,1,2,2106,1,107.92182908239539,62.0,19.602664874832072
2139,132,3,negative_cash,-1.178809239360059,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,2133,0,-80.32880923936006,77.0,19.25
2159,133,3,negative_cash,-1.6883244794376315,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,2140,0,-24.78832447943762,77.0,19.25
2165,136,5,negative_cash,-2.64076987073896,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,2149,0,-28.29076987073895,57.0,14.25
2181,124,6,negative_cash,-18.817433057357235,134.1381488833215,79.07427559664627,1.0,2.5,1.7999999999999998,84.0,-34.23612671332478,8,10,3,1,2168,1,95.28475854938142,2025.8013014066096,518.4514639335739
2194,131,6,negative_cash,-65.49897105990456,46.207213111089736,49.916733602871744,1.0,1.75,1.7999999999999998,63.0,-71.25952049178201,5,7,3,1,2185,1,85.451350955529,1732.09329274709,446.6325487225627
