tick,d_population,d_employed,d_unemployed,d_housed,d_unhoused,d_residential_units,d_vacant_residential_units,d_commercial_units,d_vacant_commercial_units,d_active_firms,d_firm_job_vacancies,d_firms_with_job_vacancies,d_committed_output,d_realized_sales,d_unsold_output,d_sold_out_firms,d_mean_wage,d_mean_residential_rent,d_mean_commercial_rent,d_mean_goods_price
2730.0,0.0,2.0,-2.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,17.0,7.0,10.0,2.0,0.01444319504453162,0.0003993960628714266,0.0,0.014319730506930028
2731.0,2.0,2.0,0.0,-2.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,13.0,-6.0,19.0,-3.0,-0.023785892222271343,-0.0023972091551029973,-0.0001511719659910149,0.022732274007046804
2732.0,0.0,3.0,-3.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,9.0,4.0,3.0,-0.010325313885411802,-0.0042763021181160266,-0.0001456748035915112,-0.011313015693487749
2733.0,0.0,3.0,-3.0,5.0,-5.0,0.0,-5.0,1.0,0.0,1.0,0.0,0.0,15.0,-1.0,16.0,-1.0,0.017191344764855288,0.002204010511557497,-0.00014047213203460807,0.019657938210634995
2734.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,19.0,-5.0,24.0,-3.0,-0.0005875438237641362,0.0020880451915850085,-0.00013554328529652437,0.01575785046421796
2735.0,1.0,2.0,-1.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,7.0,8.0,-1.0,4.0,0.0031341724546418703,0.004230458260429781,-5.387426900593795e-5,-0.010609373364133035
2736.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,-2.0,19.0,-3.0,-0.014688892934971776,0.0032418753772693876,-0.00012994051220016622,-0.007843229971141064
2737.0,0.0,0.0,0.0,3.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,3.0,4.0,0.0,0.009549201673620944,0.0,-0.009427944764802021
2738.0,0.0,-6.0,6.0,-1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,-28.0,-30.0,2.0,-2.0,0.006655913156041748,0.00796821917101953,0.00012994051220016622,0.004275153759950356
2739.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,2.0,17.0,-15.0,2.0,0.0,0.005793593671709507,-0.00025547626127453427,-0.01159060567644854
2740.0,0.0,0.0,0.0,2.0,-2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.0,7.0,-2.0,0.0,0.008170687459159387,0.0,0.005109222591287654
2741.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,4.0,-6.0,10.0,-2.0,0.0,0.005343192717605305,0.00025547626127453427,0.03350453024150202
2742.0,0.0,0.0,0.0,-5.0,5.0,0.0,5.0,0.0,2.0,-1.0,0.0,0.0,2.0,7.0,-5.0,1.0,0.0,0.0019477673166794496,0.00027405635300370434,0.03459616962817069
