"tick","active_firms","total_revenue","mean_revenue","median_revenue","sd_revenue","cv_revenue","zero_revenue_share","sold_out_share","total_unsold_output","total_profit","loss_firm_share","revenue_gini"
1507,149,1617.46614966198,10.85547751451,5.50748292442112,13.1420840730467,1.21064080833666,0,0.523489932885906,471,-2098410.65405665,0.979865771812081,0.484695384243935
1508,150,1612.32839463713,10.7488559642475,5.5310853151482,12.9769695689732,1.20728844187109,0.00666666666666667,0.506666666666667,481,-1788247.724823,0.973333333333333,0.47692366852908
1509,149,1622.62391666013,10.8900934004036,5.57677686332994,13.1987350281287,1.21199465815781,0,0.51006711409396,460,-1524721.28277922,0.973154362416107,0.48812622968166
1510,149,1620.35839861595,10.8748885813151,5.52096241225684,12.8934774394498,1.18561926800822,0,0.503355704697987,451,-1300863.88035448,0.986577181208054,0.472967670196735
1511,149,1630.34922818863,10.9419411287827,5.59814167472618,12.8957729253964,1.1785635449522,0,0.483221476510067,431,-1110724.71674149,0.986577181208054,0.466762787699333
1512,149,1626.82584718102,10.9182942763827,5.72778224139797,13.0714271303873,1.19720414192005,0,0.523489932885906,434,-949243.759466665,1,0.477848630458785
1513,149,1633.98387399836,10.9663347248212,5.72388144852923,12.7856052783793,1.16589595331614,0,0.550335570469799,401,-812124.799707087,1,0.46171056002928
1514,152,1619.33982132772,10.6535514561034,5.69136430183986,12.9542032855355,1.21595163255292,0.0197368421052632,0.506578947368421,447,-695753.772457112,0.993421052631579,0.484430620664413
1515,149,1649.54090179159,11.0707443073261,5.75658621859733,12.8682541793522,1.16236576531142,0,0.563758389261745,376,-596944.775084846,1,0.460826132784418
1516,150,1625.05282386969,10.8336854924646,5.72691359298845,12.5651860778233,1.15982562781272,0.00666666666666667,0.533333333333333,399,-513165.423737147,0.993333333333333,0.456079122976039
1517,150,1630.32104990627,10.8688069993751,5.74303331713923,12.9186975945207,1.18860309096145,0.00666666666666667,0.533333333333333,405,-440304.227149885,0.993333333333333,0.465040542696577
1518,151,1623.29248877775,10.7502813826341,5.74457511295543,12.8706620199629,1.19723954767864,0.0132450331125828,0.56953642384106,436,-378497.494388708,1,0.474062982304946
1519,149,1615.57751545356,10.842802117138,5.78116290388411,12.7419245018906,1.17515051591238,0,0.563758389261745,435,-326079.312454535,0.993288590604027,0.459340810870969
1520,150,1624.96077352089,10.8330718234726,5.6434852625375,13.0858848928523,1.20795699558628,0.00666666666666667,0.473333333333333,420,-281633.629425151,0.993333333333333,0.480610430787409
1521,149,1629.48331835881,10.9361296534148,5.57652093980558,12.8896012356165,1.17862549586651,0,0.523489932885906,397,-243979.965827517,0.993288590604027,0.471620123244214
1522,149,1611.90672466119,10.8181659373234,5.6063365742592,12.998105362465,1.20150730149374,0,0.516778523489933,434,-212131.480898413,0.986577181208054,0.476203991118222
1523,149,1614.66651967459,10.8366880515073,5.7995817773978,12.6919605521137,1.17120290736323,0,0.577181208053691,410,-185161.877668716,0.986577181208054,0.460128571431373
1524,149,1627.96168627237,10.9259173575327,5.68942552704282,13.0733165624991,1.19654177628261,0,0.550335570469799,392,-162387.96183015,0.993288590604027,0.470046113916294
1525,149,1617.03730533759,10.8525993646818,5.65205212502446,12.9047559480977,1.18909355394563,0,0.456375838926175,416,-143186.82307474,0.986577181208054,0.473793566006551
1526,149,1628.44814082396,10.929182153181,5.77461898106064,12.8746189333808,1.17800387558127,0,0.563758389261745,375,-126990.097865332,0.979865771812081,0.468605447562896
1527,149,1634.17895071239,10.9676439645127,5.7952073878378,12.7281155974345,1.16051502388462,0,0.557046979865772,344,-113377.888308343,0.986577181208054,0.458421417961114
1528,149,1629.64508761655,10.9372153531312,5.70416632862872,12.8945623992054,1.17896210167553,0,0.51006711409396,357,-101972.621406104,0.986577181208054,0.466326704455604
1529,149,1626.08218786749,10.9133032742785,5.78481278460081,12.8746296153703,1.1797188524683,0,0.516778523489933,377,-92438.0168240705,0.993288590604027,0.464458583060475
1530,150,1633.55956053229,10.8903970702152,5.72645155888506,13.2174344120921,1.21367791521957,0.00666666666666667,0.54,369,-84488.1930738474,0.993333333333333,0.478096139218689
1531,151,1622.47446214984,10.7448639877473,5.70946800134803,13.0063436425142,1.21047075675836,0.0132450331125828,0.463576158940397,404,-77911.8913825572,0.993377483443709,0.479453805666345
1532,150,1636.21958656232,10.9081305770821,5.68084696230614,13.1691114647273,1.20727482786056,0.00666666666666667,0.48,393,-72475.1042526192,0.993333333333333,0.479358903690501
1533,149,1622.64842292212,10.8902578719605,5.74363967927501,12.9977628486408,1.19352204524987,0,0.536912751677852,396,-68052.2673345634,0.986577181208054,0.468185489031421
1534,149,1622.59278726516,10.8898844782897,5.80772016979374,12.7051247389462,1.16669049743139,0,0.550335570469799,374,-64466.3760514013,0.986577181208054,0.455629439509203
1535,149,1614.79803271048,10.8375706893321,5.73773269141355,12.7046628120393,1.17227957964279,0,0.583892617449664,399,-61613.4667054494,0.993288590604027,0.463573682789795
1536,150,1610.52640332079,10.7368426888053,5.69144479920449,12.5234628411253,1.1664008874958,0.00666666666666667,0.493333333333333,402,-59382.3084874194,0.993333333333333,0.459984506414775
1537,149,1619.09440240924,10.8664053852969,5.70946800134803,12.9692065248181,1.19351396022519,0,0.516778523489933,395,-57683.4999810688,0.993288590604027,0.473465800687691
1538,150,1622.28261521755,10.8152174347837,5.70997286280739,12.8589674511783,1.18896985000242,0.00666666666666667,0.54,379,-56437.5039156312,1,0.475710960509745
1539,149,1617.88439699181,10.8582845435692,5.76564795040769,12.3437371714713,1.13680361957192,0,0.543624161073825,374,-55605.1994221597,0.993288590604027,0.450916244301723
1540,150,1610.60024110636,10.7373349407091,5.70822370774698,12.8061358137614,1.19267359027879,0.00666666666666667,0.48,428,-55130.7545593209,0.993333333333333,0.471439196183424
1541,150,1621.45214805552,10.8096809870368,5.75677586491657,12.4295387063984,1.14985249993077,0.00666666666666667,0.54,391,-54924.4990627779,0.993333333333333,0.464311455952733
1542,149,1627.63366499142,10.9237158724256,5.74399083189449,12.7998862428132,1.17175202946494,0,0.563758389261745,383,-54942.9349870838,1,0.461437782557026
1543,151,1619.45608252962,10.7248747187392,5.69373279555839,12.9630636073203,1.20869137843358,0.0132450331125828,0.483443708609272,402,-55206.6956260944,1,0.479548869949919
1544,149,1624.53698134231,10.9029327606866,5.70946800134803,12.9480112530837,1.18757141195726,0,0.523489932885906,382,-55662.2473946164,0.993288590604027,0.467278269112738
1545,151,1610.23138400782,10.6637840000518,5.64300884162442,12.8973078975815,1.20944946911142,0.0132450331125828,0.483443708609271,410,-56339.4094439528,0.993377483443709,0.473983232120936
1546,149,1614.30563924413,10.8342660351955,5.63338355083613,12.9668309806254,1.19683520217263,0,0.51006711409396,402,-55415.8992756838,0.993288590604027,0.467093888233798
1547,149,1604.97177186388,10.771622629959,5.68305920927488,12.7462851342895,1.18332080246095,0,0.516778523489933,435,-54863.630439208,0.993288590604027,0.462203975561969
1548,150,1605.94955937666,10.7063303958444,5.7601990300905,12.7104581470453,1.18719091202143,0.00666666666666667,0.493333333333333,451,-54607.3688586587,0.986666666666667,0.468834911903451
1549,149,1610.22414060258,10.806873426863,5.74905492002153,12.8691874626584,1.19083355142007,0,0.48993288590604,438,-54615.3859532661,0.993288590604027,0.466686727023824
1550,149,1617.73606482032,10.8572890256397,5.75460671966108,12.846358417306,1.18320129334027,0,0.503355704697987,407,-54856.6261884933,0.986577181208054,0.463436437100594
1551,149,1629.52137774875,10.9363850855621,5.78757444476188,13.1143817736154,1.19915142627234,0,0.496644295302013,380,-55302.091599067,0.993288590604027,0.46544054069048
1552,149,1592.83208704026,10.6901482351695,5.63743557853671,12.8350781869626,1.20064548260767,0,0.469798657718121,441,-55954.8606482264,0.986577181208054,0.473537595932495
1553,149,1604.12427707577,10.765934745475,5.54050940231019,13.0244670262179,1.20978506131966,0,0.476510067114094,424,-56758.9859520909,0.979865771812081,0.479732050654795
1554,150,1613.72672079544,10.7581781386363,5.68522216875088,13.0351444105271,1.21164980190404,0.00666666666666667,0.5,410,-57716.3214351029,0.98,0.47637035798615
1555,149,1614.39294922803,10.8348520082418,5.74905492002153,13.0159810277963,1.20130676615567,0,0.496644295302013,405,-58792.3445488286,0.986577181208054,0.480606708420614
1556,149,1634.40129203004,10.9691361881211,5.76281790173844,12.9565263881559,1.18118019194502,0,0.563758389261745,360,-59985.0695732252,0.986577181208054,0.470784023065637
1557,149,1620.68169839714,10.8770583785043,5.73019296201631,12.8578955195592,1.18211147464001,0,0.570469798657718,394,-61325.2258642108,0.979865771812081,0.468655567900081
